seller_id,orders,late_handoffs,late_rate,late_rate_outside_spike
0c7533c71df861ec58ad7ff999ed0e8d,58,9,0.15517241379310345,0.16279069767441862
d13e50eaa47b4cbe9eb81465865d8cfc,67,9,0.13432835820895522,0.13432835820895522
1da3aeb70d7989d1e6d9b0e887f97c23,257,9,0.03501945525291829,0.04035874439461883
5d0363b33554b373851fc1622e4d5f3c,91,9,0.0989010989010989,0.08571428571428572
8d956fec2e4337affcb520f56fd8cbfd,209,9,0.0430622009569378,0.05806451612903226
99eaacc9e6046db1c82b163c5f84869f,64,9,0.140625,0.12698412698412698
440dd6ab244315c632130ecfb63827b1,93,9,0.0967741935483871,0.1125
b17b679f4f5ce2e03ce6968c62648246,50,9,0.18,0.20454545454545456
8f119a0aee85c0c8fc534629734e94fd,74,9,0.12162162162162163,0.1232876712328767
9e6229250fedbe05838fef417b74e7fb,68,9,0.1323529411764706,0.09375
37be5a7c751166fbc5f8ccba4119e043,272,9,0.03308823529411765,0.02973977695167286
4a3ccda38b2129705f3fb522db62ca31,61,9,0.14754098360655737,0.14285714285714285
955fee9216a65b617aa5c0531780ce60,1276,9,0.007053291536050157,0.008678881388621022
de722cd6dad950a92b7d4f82673f8833,337,8,0.02373887240356083,0.02252252252252252
17f51e7198701186712e53a39c564617,55,8,0.14545454545454545,0.1509433962264151
cce6ab8d1682639fe45ab70234f1665f,62,8,0.12903225806451613,0.12903225806451613
b561927807645834b59ef0d16ba55a24,82,8,0.0975609756097561,0.07692307692307693
ca3bd7cd9f149df75950150d010fe4a2,70,8,0.11428571428571428,0.14035087719298245
41b39e28db005d9731d9d485a83b4c38,180,8,0.044444444444444446,0.047619047619047616
5a8e7d5003a1f221f9e1d6e411de7c23,127,8,0.06299212598425197,0.06722689075630252
8f2ce03f928b567e3d56181ae20ae952,153,8,0.05228758169934641,0.032520325203252036
4e17c65a516f69d023a2ae78b84f28d6,61,8,0.13114754098360656,0.1320754716981132
5656537e588803a555b8eb41f07a944b,171,8,0.04678362573099415,0.04225352112676056
609e1a9a6c2539919b8205cf7c4e6ff0,78,8,0.10256410256410256,0.1076923076923077
8b28d096634035667e8263d57ba3368c,138,8,0.057971014492753624,0.04132231404958678
066a6914e1ebf3ea95a216c73a986b91,65,8,0.12307692307692308,0.09615384615384616
0241d4d5d36f10f80c644447315af0bd,224,8,0.03571428571428571,0.04419889502762431
f457c46070d02cadd8a68551231220dd,173,7,0.04046242774566474,0.013888888888888888
9b013e03b2ab786505a1d3b5c0756754,169,7,0.04142011834319527,0.03355704697986577
562fc2f2c2863ab7e79a9e4388a58a14,253,7,0.02766798418972332,0.028089887640449437
0be8ff43f22e456b4e0371b2245e4d01,153,7,0.0457516339869281,0.04065040650406504
d94a40fd42351c259927028d163af842,94,7,0.07446808510638298,0.06172839506172839
2a7dc43cecabf23403078e2188437d1d,50,7,0.14,0.13157894736842105
2e90cb1677d35cfe24eef47d441b7c87,126,7,0.05555555555555555,0.0673076923076923
a5cba26a62b8b4d0145b68b841e62e7f,54,7,0.12962962962962962,0.17142857142857143
fcb5ace8bcc92f75707dc0f01a27d269,59,7,0.11864406779661017,0.14
